빈역	0
101	1,2
102	1
103	1
104	1,4
105	1
106	1
107	1,3
108	1
109	1,5
110	1
111	1
112	1,9
113	1,8
114	1
115	1,4
116	1,6
117	1
118	1
119	1,9
120	1
121	1,6
122	1,5
123	1,3
201	2
202	2,7
203	2
204	2
205	2
206	2
207	2,3
208	2
209	2,5
210	2
211	2,9
212	2
213	2
214	2,8
215	2
216	2,4
217	2
301	3
302	3
303	3,7
304	3
305	3
306	3
307	3,4
308	3
401	4
402	4
403	4,5
404	4
405	4
406	4,9
407	4
408	4
409	4,8
410	4
411	4
412	4,6
413	4
414	4
415	4
416	4,7
417	4,6
501	5
502	5
503	5,7
504	5
505	5
506	5
507	5
601	6,7
602	6
603	6
604	6
605	6,9
606	6
607	6
608	6,8
609	6
610	6
611	6
612	6
613	6
614	6,7
615	6
616	6
617	6
618	6,8
619	6
620	6
621	6,9
622	6
701	7
702	7,9
703	7
704	7
705	7,8
706	7
707	7
801	8
802	8
803	8
804	8
805	8
806	8
901	9
902	9
903	9
904	9
