1	2	500	200	200
2	3	400	300	300
3	4	600	1000	500
4	5	200	500	340
5	6	600	150	450
6	7	200	320	120
7	8	700	400	650
8	9	350	800	200
9	10	250	900	430
10	11	650	500	120
11	12	400	1000	890
12	13	500	2000	800
13	14	500	500	700
14	15	400	220	540
15	16	600	230	330
16	17	200	300	280
17	18	600	500	800
18	19	200	480	1000
19	20	700	500	2000
20	21	350	400	700
21	22	250	900	650
22	23	650	300	440
23	1	400	480	200
1	24	500	1000	300
24	25	500	250	500
25	26	400	480	340
26	27	600	400	450
27	28	200	250	120
28	29	600	500	650
29	30	200	320	200
30	31	700	250	430
31	32	350	300	120
32	33	250	150	890
33	34	650	900	800
34	35	400	320	700
35	36	500	150	540
36	37	500	500	330
37	38	400	210	280
38	39	600	150	800
39	40	200	500	1000
30	41	600	300	2000
41	42	200	300	700
42	43	700	480	650
43	44	350	400	440
44	23	250	250	200
23	45	650	300	300
45	46	400	250	500
46	47	500	900	340
47	48	500	480	450
48	7	400	400	120
4	49	600	1000	650
49	47	200	150	200
47	50	600	300	430
50	51	200	210	120
51	52	700	320	890
52	53	350	210	800
53	54	250	500	700
54	55	650	300	540
55	15	400	320	330
15	56	500	480	280
56	57	340	300	800
57	58	500	480	1000
58	59	400	300	2000
59	60	600	900	700
60	61	200	400	650
61	62	600	430	440
62	63	200	150	200
63	64	700	1000	300
64	65	350	500	500
65	39	250	900	340
32	66	650	320	450
66	67	400	320	120
67	68	500	430	650
68	69	500	210	200
69	22	400	320	430
22	70	600	480	120
70	71	200	300	890
71	51	600	320	800
51	72	200	300	700
72	9	700	1000	540
73	74	350	150	330
74	21	250	700	280
21	75	650	500	800
75	76	400	300	1000
76	77	200	430	2000
77	78	300	480	700
78	16	400	320	650
16	79	200	250	440
79	80	600	500	200
80	81	200	700	300
81	60	700	320	500
60	82	350	1000	340
82	83	250	700	450
83	84	650	700	120
84	85	400	150	650
85	86	200	430	200
86	87	300	500	430
87	88	400	700	120
88	65	200	480	890
65	89	600	320	800
89	90	200	300	700
90	91	700	250	540
91	92	350	700	330
92	93	250	320	280
93	94	650	480	800
94	73	400	150	1000
25	43	200	1000	2000
43	68	300	700	700
68	73	400	500	650
73	95	200	430	440
95	96	600	150	200
96	97	200	600	300
97	98	700	700	500
98	99	350	250	340
99	100	250	600	450
100	64	650	300	120
64	101	400	430	650
101	86	200	480	200
13	102	300	600	430
102	103	400	1000	120
103	104	200	700	890
104	57	600	600	800
57	80	200	500	700
80	105	700	700	540
105	106	350	150	330
106	107	250	210	280
107	99	650	600	800
99	90	400	250	1000
90	37	200	700	2000
12	108	300	600	700
108	54	400	300	650
54	77	200	210	440
77	109	600	480	280
109	19	200	430	800
19	110	700	1000	1000
110	96	350	150	2000
96	111	250	500	700
111	93	650	250	650
93	34	400	300	440
